rank,token,token_utf8_bytes,aggregate_count,sample_standard_deviation,finite_sample_standard_deviation,positive_sample_standard_deviation
553,piano,5,106,0.018384305865871749,true,true
554,piattaforma,11,106,0.037583435053385801,true,true
555,speranza,8,106,0.011575378188192053,true,true
556,cento,5,105,0.011084437027986895,true,true
557,collo,5,105,0.016835671255769857,true,true
558,gioia,5,105,0.02008346868737871,true,true
559,teneva,6,105,0.0051742452510743636,true,true
560,dava,4,104,0.0095961189878209473,true,true
561,discorso,8,104,0.0091166045928375902,true,true
562,passeggieri,11,104,0.031553211901735705,true,true
563,peste,5,104,0.01859351652226017,true,true
564,ragazzo,7,104,0.047284831287932913,true,true
565,chiese,6,103,0.042233233569180774,true,true
566,cinque,6,103,0.018552864557930846,true,true
567,credo,5,103,0.03400130491118894,true,true
568,molte,5,103,0.0071905476716237794,true,true
569,alto,4,102,0.0092164245786658088,true,true
570,case,4,102,0.011922775739811129,true,true
571,conte,5,102,0.015584602153133851,true,true
572,dovere,6,102,0.0093006690258365561,true,true
573,grida,5,102,0.011898854881863484,true,true
574,ore,3,102,0.013298639907977436,true,true
575,pace,4,102,0.0060020708492948029,true,true
576,piacere,7,102,0.007639758414191641,true,true
577,prendere,8,102,0.010630183427728659,true,true
578,stare,5,102,0.010497547763272318,true,true
579,veramente,9,102,0.012771472475682537,true,true
580,lavoro,6,101,0.015195594215081102,true,true
581,passò,6,101,0.010205659990503976,true,true
582,trovato,7,101,0.0041688740787585729,true,true
583,vuole,5,101,0.0078241348551372682,true,true
584,adesso,6,100,0.040403539441946995,true,true
585,possa,5,100,0.0081196512706437438,true,true
586,stanza,6,100,0.018070457662229741,true,true
587,gertrude,8,99,0.018171697392676947,true,true
588,passato,7,99,0.011759397805880752,true,true
589,mie,3,98,0.026841180850511046,true,true
590,naso,4,98,0.037851895665457935,true,true
591,oro,3,98,0.026923922985828727,true,true
592,tua,3,98,0.019052119073767894,true,true
593,verità,7,98,0.0074417539815129123,true,true
594,chè,4,97,0.013828931836281829,true,true
595,compagni,8,97,0.017625866644816478,true,true
596,gl,2,97,0.0084315405065497149,true,true
597,perpetua,8,97,0.016844149993191535,true,true
598,re,2,97,0.038068866625452571,true,true
599,sinistra,8,97,0.010071596319457374,true,true
600,solito,6,97,0.0034799316298087953,true,true
601,tanta,5,97,0.011264665999598061,true,true
602,trovò,6,97,0.021250544192131054,true,true
